t_episode,t_rewards
108,1.84619983927
109,19.3589336626
110,3.57619910542
111,26.3590919564
112,-23.4323664295
113,21.9939126013
114,-5.40718903655
115,9.38378744747
116,-174.324494063
117,-172.175786975
118,-171.288663016
119,-171.16106369
120,-171.771792181
121,-171.384769703
122,-171.664382527
123,-171.535786048
124,-171.507066885
125,-172.020963126
126,-171.130866273
127,0.519797255701
128,-171.57485215
129,-171.919978376
130,-171.374145055
131,17.5310356647
132,8.30984338265
133,43.9710003117
134,15.7570184235
135,25.5154362718
136,-73.7673918794
137,21.8978185248
138,-38.6414367509
139,-173.964107307
140,-171.37532842
141,-171.073501018
142,-171.079425046
143,-171.677010297
144,-171.987195232
145,-172.379408363
146,-171.314474948
147,-171.996795132
148,-171.609865597
149,-172.06343588
150,-171.694039144
151,-171.239105772
152,-79.8214064758
153,-145.014613872
154,-172.783023106
155,17.1022480394
156,-2.02039949658
157,-177.412808692
158,-171.949213128
159,-172.521097139
160,-114.801543164
161,14.5556325211
162,21.0453677846
163,1.75549727142
164,-176.138765576
165,0.91589085304
166,21.0108760556
167,23.9181548648
168,19.2723721911
169,-148.702887753
170,-171.996054519
171,-173.777738118
172,20.3543963706
173,20.391954092
174,20.4218357968
175,20.1543248492
176,20.5733654124
177,20.3914695805
178,20.3690217414
179,20.3717003802
180,20.5370909025
181,20.2970415653
182,20.2093800582
183,20.4262066957
184,20.3719864204
185,20.4867544699
186,20.3664808356
187,20.5641446928
188,20.2277778877
189,20.4208227356
190,20.4972955386
191,20.5484423873
192,20.245137689
193,20.6851380722
194,20.4374841716
195,20.3093447858
196,20.5014928811
197,20.5572214778
198,20.5279908877
199,20.5254669989
200,20.2970084959
201,20.3012264524
202,20.4255896552
203,20.5010026532
204,20.3865978471
205,20.4672667922
206,20.3252572941
207,20.4934805395
208,20.3423658382
209,20.3406254682
210,20.6077436637
211,20.4149571848
212,20.6295157027
213,20.3350714005
214,20.4700446106
215,20.3677680863
216,20.4088911858
217,20.6119084694
218,20.2131220273
219,20.2944402546
220,20.2307831567
221,20.3263236665
222,20.3652969527
223,20.3463930467
224,20.543290597
225,20.4812441026
226,20.3840037267
227,20.3998360019
228,20.6303597054
229,20.4377334378
230,20.3690294547
231,20.4775949214
232,20.3253280109
233,20.4844834425
234,19.7544494067
235,11.6000167796
236,6.8416922265
237,14.2426488738
238,18.2177992139
239,20.5426622481
240,8.71250093857
241,19.1930860514
242,16.6273407776
243,15.1853911035
244,16.1606071615
245,16.5178925805
246,23.3331108493
247,15.2247482299
248,13.8205236566
249,12.3239771925
250,17.3510860899
251,21.132905801
252,23.8440529274
253,22.1264515516
254,23.072091447
255,20.7007484713
256,20.8739487343
257,20.568252983
258,23.2024974007
259,23.1399225862
260,23.8358448387
261,11.9901887142
262,12.0573514064
263,30.1780923483
264,30.2577684713
265,6.16950274461
266,-171.640631804
267,29.8980146817
268,30.11531643
269,-171.933027281
270,-171.719271399
271,29.9477201938
272,-171.419817224
273,14.8846770027
274,30.157022058
275,30.0145753009
276,-171.207576464
277,29.8416262363
278,37.0463863591
279,-171.096746557
280,11.9544625716
281,20.5923300428
282,20.6636840064
283,20.6585341499
284,20.4980265626
285,20.6185959846
286,20.5401143363
287,20.6826665609
288,20.6934094855
289,20.5811024911
290,20.6062010518
291,20.9098853209
292,20.7895649062
293,20.5240515941
294,20.7341201879
295,20.7821973964
296,20.4822769616
297,20.5876046336
298,20.5431798037
299,20.6346800426
300,20.630378622
301,20.8586419947
302,20.7392137722
303,20.5727867078
304,20.6054672436
305,20.7702291098
306,20.9307709124
307,20.6629056285
308,20.6930167708
309,20.5582108175
310,20.7080362593
311,20.7951221475
312,20.8534479699
313,20.5412597866
314,20.7745677968
315,20.7811709124
316,20.9183651522
317,20.6140163156
318,20.6517403649
319,20.5173631899
320,20.5150146065
321,20.4703676704
322,20.3310463465
323,21.4486820376
324,20.6494955159
325,20.7137568995
326,21.0879896956
327,20.8060979534
328,20.8220139346
329,21.1297471142
330,20.8186540654
331,20.9595144083
332,22.762211365
333,20.8244872914
334,20.7548975638
335,20.7553038823
336,22.4638368473
337,20.5872332425
338,20.7327846259
339,20.5511177141
340,20.7482491334
341,20.7180207806
342,20.8370664322
343,20.5038070565
344,20.857411142
345,20.8076242557
346,20.6636830708
347,20.8802703914
348,20.5758900177
349,20.8975152382
350,20.777044573
351,20.8396939579
352,20.7525176942
353,20.6045443291
354,20.6835467654
355,20.7373537734
356,20.6392719716
357,20.6970677238
358,20.6053302844
359,20.5463233847
360,20.6319805307
361,20.7506791782
362,20.6901660432
363,20.839976457
364,20.7287603776
365,20.5952306607
366,20.7468287591
367,20.8137951149
368,20.7216309238
369,20.8016953087
370,20.662502056
371,20.6323999136
372,20.6232341317
373,20.696727227
374,20.7821945763
375,20.6570954913
376,20.5224706038
377,20.7949016759
378,20.86482869
379,20.6795650234
380,20.645250261
381,20.7198478767
382,20.6674110116
383,20.8882751614
384,20.8986521479
385,20.7791106978
386,20.7363076926
387,20.4863961575
388,20.584280783
389,20.679419284
390,20.6495466778
391,20.59855781
392,20.6225150691
393,20.6483148026
394,20.6818575289
395,20.5586464415
396,20.8554388392
397,20.7009874308
398,20.8085746209
399,20.7505948682
400,20.7315326921
401,20.4683824046
402,20.6985034028
403,20.5677129718
404,20.7244202368
405,20.5770651868
406,20.7379915969
407,20.5232544893
408,20.6920417444
409,20.6964772452
410,20.5615542533
411,20.8431017071
412,20.576294366
413,20.6747131693
414,20.6323013614
415,20.897093282
416,20.7718022595
417,20.6873600136
418,20.8533220906
419,20.5575613702
420,20.832840742
421,20.7432263435
422,20.5259301592
423,20.8006499176
424,20.6555484401
425,20.5890373528
426,20.7561828627
427,20.6303717337
428,20.6140417582
429,20.7282275691
430,21.3652479972
431,20.687709337
432,21.3419941836
433,20.6582162521
434,23.3381424745
435,21.6333242771
436,23.9166137043
437,13.9359145061
438,17.884639182
439,13.8922774972
440,20.6334804232
441,21.4114778015
442,23.8051345609
443,20.0338059036
444,23.8056181667
445,20.9232447871
446,18.3164921621
447,20.9908182634
448,22.5606496196
449,19.1704248323
450,20.2909035916
451,19.2745000477
452,20.5872312933
453,20.6803682715
454,20.5968898064
455,20.7807467557
456,23.8056022451
457,23.8056250035
458,23.8056575583
459,23.805640014
460,23.805643875
461,23.8056507913
462,23.8056489596
463,23.8056177611
464,23.8056493025
465,23.8056506058
466,23.8056567719
467,23.8056408026
468,23.8056498466
469,23.8056429769
470,23.8056447092
471,23.8056490486
472,23.8056475594
473,23.8056151437
474,23.8056344703
475,23.805639846
476,23.8056514603
477,23.8056391378
478,23.8056319824
479,23.8056361425
480,23.805635285
481,23.8056197486
482,23.8056426609
483,23.8056210832
484,23.8056423839
485,23.8056493647
486,23.8056608003
487,23.8056320813
488,23.8056473794
489,23.8056470399
490,23.8056433113
491,23.805644769
492,23.8055917171
493,23.8056195701
494,23.8056487274
495,23.8056515186
496,23.8056371212
497,23.8056340677
498,23.8056476656
499,23.8056513749
500,23.80562134
501,23.8056457472
502,23.8056474988
503,23.8056489599
504,23.8056276113
505,23.8056405389
506,23.8056481835
507,23.8056429952
508,23.8056545538
509,23.8056443738
510,23.805646327
511,23.8056497976
512,23.8056606795
513,23.8055740315
514,23.8056463536
515,23.8056120012
516,23.8056522021
517,23.8056343038
518,23.8056046212
519,23.8056195943
520,23.8056145189
521,23.8056505666
522,23.8056455283
523,23.8056600709
524,23.8056382523
525,23.8056482231
526,23.8056330847
527,23.8056522152
528,23.8056450319
529,23.8056423052
530,23.8056397536
531,23.8056337398
532,23.8056436698
533,23.8056116054
534,23.8056644708
535,23.805630683
536,23.8056154756
537,23.805639139
538,23.8056518429
539,23.8056492275
540,23.8056248445
541,23.8056547957
542,23.8055817555
543,23.8056292953
544,23.8056622597
545,23.8056481118
546,23.8056384473
547,23.8056460108
548,23.8056404472
549,23.8056420334
550,23.8056436615
551,23.805652137
552,23.8056148129
553,23.8056254165
554,23.8056472722
555,23.8056360516
556,23.8056419392
557,23.8056407936
558,23.8056567139
559,23.8056377981
560,23.8056484666
561,23.8056483317
562,23.8056410889
563,23.8056454737
564,23.8056438693
565,23.805664659
566,23.8056264162
567,23.8056141537
568,23.8056196227
569,23.8056428569
570,23.805650375
571,23.8056340161
572,23.805639089
573,23.8056254713
574,23.8056431336
575,23.805605588
576,23.8056480558
577,23.8056391989
578,23.8056414752
579,23.8056515812
580,23.8056528447
581,23.8056484344
582,23.8056502899
583,23.8056379579
584,23.8056485815
585,23.8056455779
586,23.8056196426
587,23.8056137702
588,23.8056429043
589,23.8056412482
590,23.8056446403
591,23.8056430941
592,23.8056283632
593,23.8056193064
594,23.805616296
595,23.8056562238
596,23.8056507276
597,23.8056620317
598,23.8056529685
599,23.8056093719
600,23.8055955448
601,23.8056417595
602,23.8056375953
603,23.8056304561
604,23.8056497379
605,23.8056003491
606,23.8056219344
607,23.8056466809
608,23.8056332365
609,23.8056461993
610,23.8056405091
611,23.805645518
612,23.8056334397
613,23.805606525
614,23.8056336606
615,23.8056529491
616,23.8056342285
617,23.8056311759
618,23.8056469365
619,23.8056459533
620,23.8056613871
621,23.8056419149
622,23.805641505
623,23.8056419506
624,23.8056397015
625,23.8056509821
626,23.8056180681
627,23.8056445534
628,23.8056315313
629,23.8056477596
630,23.8056296535
631,23.8056412768
632,23.805625074
633,23.8055989291
634,23.8056479565
635,23.8056406668
636,23.8056410894
637,23.8056433851
638,23.8056339212
639,23.8056225633
640,23.8056388953
641,23.8056438589
642,23.8056393277
643,23.8056435717
644,23.8056461376
645,23.8056357112
646,23.805654539
647,23.8056477537
648,23.8056370733
649,23.8056542646
650,23.8056304638
651,23.8056560605
652,23.8055977768
653,23.8056477734
654,23.8056184052
655,23.8056379641
656,23.8056457368
657,23.8056306376
658,23.8056463808
659,23.8056332522
660,23.8056381779
661,23.8056315627
662,23.8056509503
663,23.8056410911
664,23.8056468799
665,23.8056366456
666,23.8056370216
667,23.8056424758
668,23.8056589159
669,23.8056416316
670,23.8056429047
671,23.8056535963
672,23.8056154638
673,23.8056579465
674,23.8056530761
675,23.8056519028
676,23.8056539638
677,23.8056367403
678,23.8056498869
679,23.8056319858
680,23.8056175723
681,23.8056183556
682,23.8056516455
683,23.8056482486
684,23.8056406913
685,23.8056236523
686,23.8056401391
687,23.8056424636
688,23.8056519896
689,23.8056551417
690,23.8056341021
691,23.8056432766
692,23.8056399152
693,23.8056452705
694,23.8056471587
695,23.8056175666
696,23.8056459945
697,23.8056535695
698,23.8056555039
699,23.8056422032
700,23.8056475114
701,23.8056106527
702,23.8056419765
703,23.8056391963
704,23.805636607
705,23.8056440889
706,23.8056525788
707,23.8056431827
708,23.8056298378
709,23.805651948
710,23.8056339083
711,23.8056439259
712,23.8056358342
713,23.8056475766
714,23.8056496672
715,23.8056473397
716,23.8056342131
717,23.805632784
718,23.8056440441
719,23.8056391703
720,23.8056402259
721,23.8055998846
722,23.8056508365
723,23.8056315245
724,23.8056486548
725,23.8056254149
726,23.8056423781
727,23.8056595714
728,23.8056198113
729,23.805600797
730,23.8056298562
731,23.8056365676
732,23.8056521136
733,23.8056238216
734,23.8056467166
735,23.805646519
736,23.8056383852
737,23.8056286736
738,23.8056257048
739,23.8056427266
740,23.8056442449
741,23.8056476635
742,23.8056487916
743,23.8056502164
744,23.8056503665
745,23.8056481459
746,23.8056375675
747,23.805654016
748,23.80562079
749,23.8056505586
750,23.8056208791
751,23.8056684955
752,23.8056522018
753,23.8056418118
754,23.8056229131
755,23.8056337394
756,23.8056568027
757,23.8056423157
758,23.8056283368
759,23.8056344038
760,23.8056215917
761,23.805644419
762,23.805653084
763,23.8056430169
764,23.8056394993
765,23.8056466235
766,23.8056398942
767,23.8056263834
768,23.8056475027
769,23.8056619341
770,23.8056537767
771,23.8056452741
772,23.8056595089
773,23.8056317086
774,23.8055902927
775,23.8056414153
776,23.8056551318
777,23.8056499921
778,23.8056231504
779,23.8056508412
780,23.8056197216
781,23.8056373897
782,23.80565071
783,23.8056394522
784,23.805607405
785,23.8056257102
786,23.8056496626
787,23.8056277495
788,23.8056202751
789,23.8056574384
790,23.8056449921
791,23.8056472214
792,23.8056622113
793,23.8056505991
794,23.8056413096
795,23.8056675485
796,23.8056387748
797,23.8056490256
798,23.8056512823
799,23.8055984183
800,23.8056156243
801,23.8056386093
802,23.8056295296
803,23.8055586777
804,23.8056220984
805,23.8056823673
806,23.8056206111
807,23.8056427877
808,23.8056201213
809,23.805651652
810,23.8056267639
811,23.8056388912
812,23.8056461631
813,23.8056276104
814,23.8056480586
815,23.8056331584
816,23.805636086
817,23.8056298381
818,23.8056543922
819,23.8056277147
820,23.8056437392
821,23.8056584044
822,23.8056400447
823,23.8056508797
824,23.805649022
825,23.8056453465
826,23.8056549099
827,23.8056418475
828,23.80566175
829,23.8056487086
830,23.8056544726
831,23.8056386282
832,23.8056471705
833,23.8056248189
834,23.8056168652
835,23.8056347384
836,23.8056219244
837,23.8056254553
838,23.8056360476
839,23.8056558703
840,23.8056313245
841,23.8056393517
842,23.8056051109
843,23.8056533021
844,23.8056421499
845,23.80564892
846,23.8056164511
847,23.8056356066
848,23.8056315067
849,23.8056602858
850,23.80561584
851,23.8056428526
852,23.8056381043
853,23.8056197282
854,23.8056136523
855,23.805629033
856,23.8056471539
857,23.8056447555
858,23.8056517997
859,23.8056684891
860,23.8056354713
861,23.8056210182
862,23.8056287242
863,23.8056399753
864,23.8056557044
865,23.8056309448
866,23.8056503561
867,23.8056303741
868,23.8056526496
869,23.8056403159
870,23.8056450724
871,23.8056457143
872,23.8056352412
873,23.8056529768
874,23.8056387335
875,23.8056061425
876,23.8056408331
877,23.8056521496
878,23.8056541848
879,23.80563961
880,23.8056131817
881,23.8056321782
882,23.8056536123
883,23.8056431227
884,23.8056365292
885,23.8056495683
886,23.8056307951
887,23.8056210993
888,23.8056485375
889,23.805650381
890,23.8056475804
891,23.8056485989
892,23.8056159102
893,23.8056449362
894,23.8056409686
895,23.8056371281
896,23.805626819
897,23.8056273045
898,23.8056462374
899,23.8056443602
900,23.8056326134
901,23.8056402244
902,23.8056254632
903,23.8056326115
904,23.8056035142
905,23.8056461959
906,23.8056219333
907,23.8056147935
908,23.8056315621
909,23.8056402701
910,23.8056118437
911,23.8056395931
912,23.8056537752
913,23.8056532511
914,23.805642492
915,23.8056277491
916,23.8056380355
917,23.8056083661
918,23.8056528426
919,23.8056576194
920,23.8056483342
921,23.8056319313
922,23.8056614434
923,23.8056387237
924,23.8056446302
925,23.8056314913
926,23.8056337593
927,23.8055355152
928,23.805633905
929,23.8056410508
930,23.8056407885
931,23.8056549939
932,23.8056352076
933,23.8056326606
934,23.8056308096
935,23.8055906344
936,23.8056472932
937,23.8056263286
938,23.8056332964
939,23.8056395602
940,23.8056393611
941,23.8056440684
942,23.8056511539
943,23.8056457352
944,23.8056255468
945,23.8056233596
946,23.8056410307
947,23.8056534115
948,23.8056490031
949,23.8056483937
950,23.8056349575
951,23.805663589
952,23.8056283835
953,23.8056462503
954,23.805637655
955,23.8056526071
956,23.805650462
957,23.8056608805
958,23.8056439102
959,23.8056501167
960,23.8056461798
961,23.8056494629
962,23.805655681
963,23.8056449412
964,23.8056377644
965,23.8056584942
966,23.8056395523
967,23.8056312539
968,23.8056479984
969,23.8056461301
970,23.8056470715
971,23.8056478832
972,23.8056353879
973,23.805642929
974,23.8056438469
975,23.8056291815
976,23.805647363
977,23.8056323495
978,23.8056446109
979,23.8056164021
980,23.8056500328
981,23.8056633938
982,23.8056440048
983,23.8056462037
984,23.8056545333
985,23.8056217255
986,23.8056383011
987,23.805653513
988,23.8056557207
989,23.8056433169
990,23.8056468489
991,23.8056491515
992,23.8056348262
993,23.8056504262
994,23.8056478376
995,23.8055884473
996,23.8056500007
997,23.8056360081
998,23.8056522694
999,23.8056387911
1000,23.8056081134
